scalar,RGB_r,RGB_g,RGB_b
0.0,85,72,193
0.00392156862745,86,74,194
0.0078431372549,88,76,196
0.0117647058824,89,78,198
0.0156862745098,90,79,199
0.0196078431373,91,81,201
0.0235294117647,92,83,202
0.0274509803922,93,85,204
0.0313725490196,94,87,205
0.0352941176471,95,88,207
0.0392156862745,96,90,208
0.043137254902,97,92,209
0.0470588235294,98,94,211
0.0509803921569,99,95,212
0.0549019607843,100,97,214
0.0588235294118,102,99,215
0.0627450980392,103,101,216
0.0666666666667,104,102,218
0.0705882352941,105,104,219
0.0745098039216,106,106,220
0.078431372549,107,107,221
0.0823529411765,108,109,223
0.0862745098039,109,111,224
0.0901960784314,110,113,225
0.0941176470588,111,114,226
0.0980392156863,112,116,227
0.101960784314,113,118,228
0.105882352941,115,119,230
0.109803921569,116,121,231
0.113725490196,117,123,232
0.117647058824,118,124,233
0.121568627451,119,126,234
0.125490196078,120,127,235
0.129411764706,121,129,236
0.133333333333,122,131,237
0.137254901961,123,132,238
0.141176470588,125,134,238
0.145098039216,126,135,239
0.149019607843,127,137,240
0.152941176471,128,139,241
0.156862745098,129,140,242
0.160784313725,130,142,243
0.164705882353,131,143,243
0.16862745098,132,145,244
0.172549019608,133,146,245
0.176470588235,135,148,246
0.180392156863,136,149,246
0.18431372549,137,151,247
0.188235294118,138,152,248
0.192156862745,139,154,248
0.196078431373,140,155,249
0.2,141,157,249
0.203921568627,142,158,250
0.207843137255,144,160,250
0.211764705882,145,161,251
0.21568627451,146,162,251
0.219607843137,147,164,252
0.223529411765,148,165,252
0.227450980392,149,166,253
0.23137254902,150,168,253
0.235294117647,151,169,253
0.239215686275,153,170,254
0.243137254902,154,172,254
0.247058823529,155,173,254
0.250980392157,156,174,254
0.254901960784,157,176,255
0.258823529412,158,177,255
0.262745098039,159,178,255
0.266666666667,160,179,255
0.270588235294,162,181,255
0.274509803922,163,182,255
0.278431372549,164,183,255
0.282352941176,165,184,255
0.286274509804,166,185,255
0.290196078431,167,186,255
0.294117647059,168,187,255
0.298039215686,169,189,255
0.301960784314,171,190,255
0.305882352941,172,191,255
0.309803921569,173,192,255
0.313725490196,174,193,255
0.317647058824,175,194,255
0.321568627451,176,195,255
0.325490196078,177,196,254
0.329411764706,178,197,254
0.333333333333,179,198,254
0.337254901961,180,199,253
0.341176470588,182,200,253
0.345098039216,183,201,253
0.349019607843,184,201,252
0.352941176471,185,202,252
0.356862745098,186,203,252
0.360784313725,187,204,251
0.364705882353,188,205,251
0.36862745098,189,206,250
0.372549019608,190,206,250
0.376470588235,191,207,249
0.380392156863,192,208,249
0.38431372549,193,209,248
0.388235294118,194,209,247
0.392156862745,195,210,247
0.396078431373,196,211,246
0.4,197,211,245
0.403921568627,198,212,245
0.407843137255,199,212,244
0.411764705882,200,213,243
0.41568627451,201,214,242
0.419607843137,202,214,242
0.423529411765,203,215,241
0.427450980392,204,215,240
0.43137254902,205,216,239
0.435294117647,206,216,238
0.439215686275,207,217,237
0.443137254902,208,217,236
0.447058823529,209,217,235
0.450980392157,210,218,234
0.454901960784,211,218,233
0.458823529412,212,218,232
0.462745098039,213,219,231
0.466666666667,214,219,230
0.470588235294,214,219,229
0.474509803922,215,220,228
0.478431372549,216,220,227
0.482352941176,217,220,226
0.486274509804,218,220,225
0.490196078431,219,220,224
0.494117647059,219,220,222
0.498039215686,220,221,221
0.501960784314,221,220,220
0.505882352941,222,220,219
0.509803921569,223,220,217
0.513725490196,224,219,216
0.517647058824,225,219,214
0.521568627451,226,218,213
0.525490196078,227,217,211
0.529411764706,227,217,210
0.533333333333,228,216,209
0.537254901961,229,216,207
0.541176470588,230,215,206
0.545098039216,231,214,204
0.549019607843,231,214,203
0.552941176471,232,213,201
0.556862745098,233,212,200
0.560784313725,233,211,198
0.564705882353,234,211,197
0.56862745098,235,210,195
0.572549019608,235,209,194
0.576470588235,236,208,192
0.580392156863,236,207,190
0.58431372549,237,207,189
0.588235294118,237,206,187
0.592156862745,238,205,186
0.596078431373,238,204,184
0.6,239,203,183
0.603921568627,239,202,181
0.607843137255,240,201,180
0.611764705882,240,200,178
0.61568627451,240,199,177
0.619607843137,241,198,175
0.623529411765,241,197,173
0.627450980392,241,196,172
0.63137254902,242,195,170
0.635294117647,242,194,169
0.639215686275,242,193,167
0.643137254902,242,191,166
0.647058823529,243,190,164
0.650980392157,243,189,162
0.654901960784,243,188,161
0.658823529412,243,187,159
0.662745098039,243,185,158
0.666666666667,243,184,156
0.670588235294,243,183,154
0.674509803922,243,182,153
0.678431372549,243,180,151
0.682352941176,243,179,150
0.686274509804,243,178,148
0.690196078431,243,176,147
0.694117647059,243,175,145
0.698039215686,243,174,143
0.701960784314,243,172,142
0.705882352941,243,171,140
0.709803921569,243,169,139
0.713725490196,243,168,137
0.717647058824,242,167,136
0.721568627451,242,165,134
0.725490196078,242,164,133
0.729411764706,242,162,131
0.733333333333,241,161,129
0.737254901961,241,159,128
0.741176470588,241,158,126
0.745098039216,240,156,125
0.749019607843,240,154,123
0.752941176471,240,153,122
0.756862745098,239,151,120
0.760784313725,239,150,119
0.764705882353,238,148,117
0.76862745098,238,146,116
0.772549019608,237,145,114
0.776470588235,237,143,113
0.780392156863,236,141,111
0.78431372549,236,140,110
0.788235294118,235,138,108
0.792156862745,235,136,107
0.796078431373,234,134,105
0.8,234,133,104
0.803921568627,233,131,102
0.807843137255,232,129,101
0.811764705882,232,127,99
0.81568627451,231,126,98
0.819607843137,230,124,97
0.823529411765,229,122,95
0.827450980392,229,120,94
0.83137254902,228,118,92
0.835294117647,227,116,91
0.839215686275,226,114,89
0.843137254902,225,112,88
0.847058823529,224,111,87
0.850980392157,224,109,85
0.854901960784,223,107,84
0.858823529412,222,105,83
0.862745098039,221,103,81
0.866666666667,220,101,80
0.870588235294,219,99,78
0.874509803922,218,97,77
0.878431372549,217,95,76
0.882352941176,216,93,75
0.886274509804,215,91,73
0.890196078431,214,88,72
0.894117647059,213,86,71
0.898039215686,212,84,69
0.901960784314,210,82,68
0.905882352941,209,80,67
0.909803921569,208,78,66
0.913725490196,207,75,64
0.917647058824,206,73,63
0.921568627451,205,71,62
0.925490196078,203,68,61
0.929411764706,202,66,59
0.933333333333,201,64,58
0.937254901961,200,61,57
0.941176470588,198,59,56
0.945098039216,197,56,55
0.949019607843,196,54,54
0.952941176471,194,51,52
0.956862745098,193,48,51
0.960784313725,192,45,50
0.964705882353,190,42,49
0.96862745098,189,39,48
0.972549019608,187,36,47
0.976470588235,186,33,46
0.980392156863,185,29,45
0.98431372549,183,25,44
0.988235294118,182,20,43
0.992156862745,180,15,41
0.996078431373,179,8,40
1.0,177,1,39
